dataset,file,line_id,expected_valid,mode,proved,reason,steps,max_depth,quantifier_apps,pruned,connection_hits,wall_s
crafted,fol_invalid_or_hard.txt,L1,False,baseline,False,open,6,3,0,0,0,0.000247
crafted,fol_invalid_or_hard.txt,L2,False,baseline,False,time_limit,162181,24,162179,0,0,5.734639
crafted,fol_invalid_or_hard.txt,L3,False,baseline,False,open,6,3,4,0,0,0.000372
crafted,fol_invalid_or_hard.txt,L4,False,baseline,False,time_limit,4105,880,3663,0,0,5.022486
crafted,fol_invalid_or_hard.txt,L1,False,improved,False,open,6,3,0,0,0,0.000182
crafted,fol_invalid_or_hard.txt,L2,False,improved,False,time_limit,127316,23,127314,0,19,6.483862
crafted,fol_invalid_or_hard.txt,L3,False,improved,False,open,6,3,4,0,0,0.000395
crafted,fol_invalid_or_hard.txt,L4,False,improved,False,time_limit,3241,688,2895,0,683,5.019522
crafted,fol_valid.txt,L1,True,baseline,True,proved,3,2,1,0,0,0.000103
crafted,fol_valid.txt,L2,True,baseline,True,proved,2,1,0,0,0,4e-05
crafted,fol_valid.txt,L3,True,baseline,True,proved,4,3,2,0,0,0.000211
crafted,fol_valid.txt,L4,True,baseline,True,proved,4,3,2,0,0,0.000138
crafted,fol_valid.txt,L5,True,baseline,True,proved,10,5,4,0,0,0.001013
crafted,fol_valid.txt,L6,True,baseline,True,proved,10,5,4,0,0,0.000683
crafted,fol_valid.txt,L7,True,baseline,True,proved,16,13,11,0,0,0.002975
crafted,fol_valid.txt,L8,True,baseline,True,proved,4,3,2,0,0,0.00012
crafted,fol_valid.txt,L1,True,improved,True,proved,3,2,1,0,0,9.9e-05
crafted,fol_valid.txt,L2,True,improved,True,proved,2,1,0,0,0,4.5e-05
crafted,fol_valid.txt,L3,True,improved,True,proved,4,3,2,0,0,0.000346
crafted,fol_valid.txt,L4,True,improved,True,proved,4,3,2,0,0,0.000319
crafted,fol_valid.txt,L5,True,improved,True,proved,10,5,4,0,2,0.001082
crafted,fol_valid.txt,L6,True,improved,True,proved,10,5,4,0,0,0.000957
crafted,fol_valid.txt,L7,True,improved,True,proved,8,5,3,0,0,0.001063
crafted,fol_valid.txt,L8,True,improved,True,proved,4,3,2,0,0,0.000156
crafted,prop_valid.txt,L1,True,baseline,True,proved,2,1,0,0,0,2.4e-05
crafted,prop_valid.txt,L2,True,baseline,True,proved,8,5,0,0,0,0.000133
crafted,prop_valid.txt,L3,True,baseline,True,proved,3,2,0,0,0,3.4e-05
crafted,prop_valid.txt,L4,True,baseline,True,proved,5,3,0,0,0,0.000131
crafted,prop_valid.txt,L5,True,baseline,True,proved,10,6,0,0,0,0.000157
crafted,prop_valid.txt,L6,True,baseline,True,proved,8,5,0,0,0,0.000188
crafted,prop_valid.txt,L7,True,baseline,True,proved,7,5,0,0,0,0.000104
crafted,prop_valid.txt,L8,True,baseline,True,proved,6,4,0,0,0,7.8e-05
crafted,prop_valid.txt,L1,True,improved,True,proved,2,1,0,0,0,3e-05
crafted,prop_valid.txt,L2,True,improved,True,proved,8,5,0,0,0,0.00021
crafted,prop_valid.txt,L3,True,improved,True,proved,3,2,0,0,0,4.4e-05
crafted,prop_valid.txt,L4,True,improved,True,proved,5,3,0,0,0,6.5e-05
crafted,prop_valid.txt,L5,True,improved,True,proved,10,6,0,0,0,0.000271
crafted,prop_valid.txt,L6,True,improved,True,proved,8,5,0,0,0,0.000219
crafted,prop_valid.txt,L7,True,improved,True,proved,7,5,0,0,0,0.000143
